0

# # # # # # # # # # # # # # #
# . . . . . . # . . . . . . #
# . # # . # . # . # . # # . #
# . # # . # . # . # . # # . #
# . . . . . . . . . . . . . #
# . # . # . # # # . # . # . #
# . . . # . . # . . # . . . #
# # # . # # . # . # # . # # #
# # # . # . . . . . # . # # #
. . . . . . # # # . . . . . .
# # # . # . . _ . . # . # # #
# # # . # . # # # . # . # # #
# . . . . . . # . . . . . . #
# . # # . # . # . # . # # . #
# . . # . . . . . . . # . . #
# # . # . # # # # # . # . # #
# . . . . . . # . . . . . . #
# . # # # # . # . # # # # . #
# . . . . . . . . . . . . . #
# # # # # # # # # # # # # # #
