3

# # # # # # # # # # # # # # #
# . . . # . . . . . # . . . #
# . # . # . # # # . # . # . #
# . # . . . . # . . . . # . #
# . # # . # . # . # . # # . #
# . . . . # . . . # . . . . #
# . # # . # # # # # . # # . #
# . . # . . . . . . . # . . #
# # . # . # # # # # . # . # #
. . . . . # # # # # . . . . .
# # . # . . . _ . . . # . # #
# . . # . # # # # # . # . . #
# . # # . # # # # # . # # . #
# . . . . . . . . . . . . . #
# # . # # # # . # # # # . # #
# # . . . # . . . # . . . # #
# . . # . # . # . # . # . . #
# . # # . . . . . . . # # . #
# . . . . # # # # # . . . . #
# # # # # # # # # # # # # # #
