1

# # # # # # # # # # # # # # #
# . . . . . . . . . . . . . #
# . # # . # # # # # . # # . #
# . # . . # . . . # . . # . #
# . # . # # . # . # # . # . #
# . . . . . . # . . . . . . #
# # . # # # . # . # # # . # #
# . . . # . . # . . # . . . #
# . # . # . # # # . # . # . #
. . . . . . # # # . . . . . .
# # # . # . . _ . . # . # # #
# # # . # # # . # # # . # # #
# # # . . . . . . . . . # # #
# . . . # . # . # . # . . . #
# . # # # . # . # . # # # . #
# . # . . . # . # . . . # . #
# . # . # # # . # # # . # . #
# . # . . . . . . . . . # . #
# . . . # # # # # # # . . . #
# # # # # # # # # # # # # # #
