2

# # # # # # # # # # # # # # #
# . . . . . . # . . . . . . #
# . # # # # . # . # # # # . #
# . # . . . . . . . . . # . #
# . . . # . # # # . # . . . #
# # # . # . # # # . # . # # #
# . . . # . . . . . # . . . #
# . # . # # # . # # # . # . #
# . # . . . . . . . . . # . #
. . # # # . # # # . # # # . .
# . . . . . . _ . . . . . . #
# . # . # # # . # # # . # . #
# . # . . . . . . . . . # . #
# . # # # . # # # . # # # . #
# . . . . . . . . . . . . . #
# # . # . # # # # # . # . # #
# . . # . . . # . . . # . . #
# . # # . # . # . # . # # . #
# . . . . . . . . . . . . . #
# # # # # # # # # # # # # # #
